                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8244,                 4.2408,                 3.4487,                 1.8884,                0.00296,                0.72727,                0.19821,                0.08096,                0.00185,                0.45455,                 0.0353,                0.00643,                  1.451,                 4.4771,                 4.1321,                 2.2661,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.496,                 4.1193,                 3.1709,                 1.6012,                0.00296,                0.72727,                0.35743,                0.17123,                0.00259,                0.63636,                0.19191,                0.02914,                 1.3426,                 3.9823,                 4.0046,                 2.0431,             5.8515e-05,             5.8515e-05,             5.8515e-05
                      3,                 1.4023,                 3.3269,                 3.2404,                 1.5805,                 0.0037,                0.90909,                0.42272,                0.20895,                 0.0037,                0.90909,                0.29523,                0.08456,                 1.2886,                  3.038,                 3.7938,                 1.6971,              9.505e-05,              9.505e-05,              9.505e-05
                      4,                  1.129,                 2.4979,                  2.919,                 1.2413,                0.00407,                      1,                 0.2865,                0.15718,                0.00407,                      1,                 0.2108,                0.08124,                 1.3142,                 2.4446,                 3.6598,                 1.6336,             0.00012961,             0.00012961,             0.00012961
                      5,                0.90326,                 2.2693,                 2.2871,                 1.1013,                0.00407,                      1,                 0.3824,                0.17893,                0.00407,                      1,                0.25508,                0.09315,                 1.3679,                 3.1759,                 3.6175,                  1.742,             0.00016218,             0.00016218,             0.00016218
                      6,                0.97576,                 1.9844,                  1.924,                 1.1362,                0.00407,                      1,                0.36725,                 0.2049,                0.00407,                      1,                0.30684,                0.13115,                 1.4324,                 4.1889,                 3.3441,                 1.7431,             0.00019277,             0.00019277,             0.00019277
                      7,                0.95236,                 1.6596,                 1.5565,                 1.0803,                0.62167,                0.54545,                0.47639,                0.27927,                0.48791,                0.54545,                  0.397,                0.19617,                 1.4842,                 4.0315,                 3.0789,                 1.8193,             0.00022139,             0.00022139,             0.00022139
                      8,                 1.0475,                 1.8545,                 1.5439,                 1.1494,                  0.614,                0.63636,                0.66387,                0.37393,                0.52628,                0.54545,                0.52611,                0.33435,                 1.3676,                  2.736,                 2.9356,                 1.5144,             0.00024803,             0.00024803,             0.00024803
                      9,                 0.9329,                 1.5934,                 1.2794,                 1.0596,                0.92402,                0.63636,                0.69823,                 0.4096,                0.92402,                0.63636,                0.69823,                0.35955,                 1.3617,                  2.634,                 2.9801,                 1.4402,             0.00027268,             0.00027268,             0.00027268
                     10,                0.98648,                 1.4618,                  1.206,                 1.0553,                      1,                0.51479,                0.71013,                0.42461,                      1,                0.51479,                0.71013,                0.33835,                 1.4099,                 2.9318,                 3.0541,                 1.4261,             0.00029536,             0.00029536,             0.00029536
                     11,                  0.939,                 1.6004,                 1.2553,                 1.0815,                      1,                0.44002,                0.71786,                0.39769,                      1,                0.44002,                0.71786,                 0.3191,                 1.4252,                 2.8374,                 3.1633,                  1.446,             0.00031605,             0.00031605,             0.00031605
                     12,                0.97388,                 1.5964,                 1.2322,                 1.0879,                      1,                0.50671,                0.62724,                0.35087,                      1,                0.50671,                0.64959,                 0.3734,                 1.4559,                 2.3071,                 3.2285,                 1.5114,             0.00033476,             0.00033476,             0.00033476
