                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8918,                 3.7663,                 3.6298,                  1.851,                0.00556,                0.83333,                0.01022,                0.00274,                0.00556,                0.83333,                0.01065,                 0.0031,                 1.7276,                 3.4942,                 3.7249,                 2.2473,                      0,                      0,                      0
                      2,                 1.8177,                 3.5933,                 3.3756,                 1.8793,                0.00556,                0.83333,                0.01113,                0.00435,                0.00444,                0.66667,                0.01087,                0.00395,                 1.6342,                 3.3565,                 3.6987,                   2.17,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.9624,                 4.1445,                 3.6633,                 2.0962,                0.00556,                0.83333,                0.01409,                0.00568,                0.00444,                0.66667,                0.01645,                0.00573,                 1.5446,                 3.1742,                 3.6322,                 2.0231,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.6058,                 3.1759,                 3.2962,                 1.6414,                0.00556,                0.83333,                 0.0351,                0.01713,                0.00556,                0.83333,                0.03604,                0.01643,                 1.4195,                 2.6907,                 3.5913,                 1.8373,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.3365,                 2.6938,                 3.0956,                 1.4828,                0.00556,                0.83333,                0.20495,                0.07359,                0.00556,                0.83333,                0.20495,                0.09002,                 1.2622,                 2.3319,                 3.4534,                 1.6269,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                  1.479,                  2.738,                 2.9329,                 1.3423,                0.00556,                0.83333,                0.34503,                0.22296,                0.00556,                0.83333,                0.34518,                0.20641,                 1.1648,                  2.107,                 3.3263,                 1.5066,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.4319,                 2.6394,                 2.9996,                 1.4167,                0.00556,                0.83333,                0.34533,                0.22351,                0.00556,                0.83333,                0.35148,                0.20892,                 1.1982,                 1.9431,                 3.2645,                 1.4915,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.1806,                 1.9606,                 2.6548,                 1.3746,                0.00556,                0.83333,                0.34537,                0.22254,                0.00556,                0.83333,                0.37231,                0.21779,                 1.2761,                 1.8469,                 3.2531,                 1.5368,              0.0001206,              0.0001206,              0.0001206
                      9,                 1.0593,                 1.7808,                 2.6835,                 1.1694,                0.00556,                0.83333,                0.39543,                0.22517,                0.00556,                0.83333,                0.39543,                0.22371,                 1.3156,                 1.8793,                 3.2059,                  1.527,             0.00013466,             0.00013466,             0.00013466
                     10,                  1.049,                 1.6715,                 2.2856,                 1.0325,                0.00556,                0.83333,                0.63475,                0.35637,                0.00556,                0.83333,                 0.7259,                0.45676,                 1.4523,                 2.0268,                 3.1194,                 1.5383,             0.00014792,             0.00014792,             0.00014792
